tiporesiduo,bairro,regiao,endereco,complemento,observacao,lat,lon
Materiais Recicláveis,São José,Centro,Avenida Sul,s/n,Cooperativa,-8.075631,-34.891624
Materiais Recicláveis,Dois Unidos,Norte,Av. Chagas Ferreira,601,Cooperativa,-8.005045,-34.912247
Materiais Recicláveis,Torre,Oeste,Rua Eliezer Olímpio de Moura,100,Cooperativa,-8.0444575,-34.9129944
Materiais Recicláveis,São José,Centro,Travessa do Gusmão,178,Cooperativa,-8.071821,-34.886728
Materiais Recicláveis,Guabiraba,Noroeste,Av. Padre Mosca de Carvalho,s/n,Cooperativa,-8.0625,-34.93253
Materiais Recicláveis,Arruda,Norte,Avenida Professor José dos Anjos,s/n,Cooperativa,-8.020267,-34.874597
Materiais Recicláveis,São José,Centro,Rua Pacatuba,s/n,Cooperativa,-8.076567,-34.897539
Materiais Recicláveis,São José,Centro,Rua Oscar de Melo,s/n,Cooperativa,-8.077965,-34.899157
Materiais Recicláveis,Imbiribeira,Sul,R. Antônio Cardoso da Fonte,483,Cooperativa,-8.097676,-34.919589
Materiais Recicláveis,Ibura,Sul,Rua Rio Uma,150,Cooperativa,-8.114698,-34.931643
"Materiais Recicláveis, Resíduos da Construção, Móveis e Eletrodomésticos",Arruda,Norte,Av. Prof. José dos Anjos,,Ecoestação Arruda,-8.0277576,-34.8924758
"Materiais Recicláveis, Resíduos da Construção, Móveis e Eletrodomésticos",Campo Grande,Norte,Av. Agamenon Magalhães com Rua Odorico Mendes,,Ecoestação Campo Grande,-8.039289,-34.878378
"Materiais Recicláveis, Resíduos da Construção, Móveis e Eletrodomésticos",Cohab,Sul,Av. Rio Largo com Avenida Santos,,Ecoestação Cohab,-8.115278,-34.953455
"Materiais Recicláveis, Resíduos da Construção, Móveis e Eletrodomésticos",Ibura,Sul,Rua Rio Tapado,,Ecoestação Ibura,-8.116757,-34.943218
"Materiais Recicláveis, Resíduos da Construção, Móveis e Eletrodomésticos",Imbiribeira,Sul,Av. Mascarenhas de Morais,,Ecoestação Imbiribeira,-8.123213,-34.914702
"Materiais Recicláveis, Resíduos da Construção, Móveis e Eletrodomésticos",Torre,Oeste,Rua Ciclovia República da Argélia,,Ecoestação Torre,-8.044172,-34.916232
"Materiais Recicláveis, Resíduos da Construção, Móveis e Eletrodomésticos",Torrões,Oeste,Rua Maestro Jones Johnsson,,Ecoestação Torrões,-8.057741,-34.935627
"Materiais Recicláveis, Resíduos da Construção, Móveis e Eletrodomésticos",Totó,Sudoeste,Rua Onze de Agosto,,Ecoestação Totó,-8.077674,-34.971714
Materiais Recicláveis,Santo Amaro,Centro,R. da Aurora,s/n,PEV,-8.054841,-34.876912
Materiais Recicláveis,Recife,Centro,Av. Rio Branco,261,PEV,-8.062349,-34.873686
Materiais Recicláveis,Recife,Centro,Av. Alfredo Lisboa,11,PEV,-8.063356,-34.871452
Materiais Recicláveis,Santo Antônio,Centro,Praça da Independência ,,PEV,-8.064063,-3.487838
Materiais Recicláveis,Santo Antônio,Centro,R. Princesa Isabel,405,PEV,-8.058049,-34.882241
Materiais Recicláveis,Ilha do Leite,Centro,Praça Miguel de Cervantes,,PEV,-8.066343,-34.893374
Materiais Recicláveis,Boa Vista,Centro,Av. Lins Petit,3,PEV,-8.060482,-34.894897
Materiais Recicláveis,Recife,Centro,Cais do Apolo,905,PEV,-8.054718,-34.872298
Materiais Recicláveis,Boa Vista,Centro,Av. da Saudade,28,PEV,-8.050546,-34.883392
Materiais Recicláveis,Boa Vista,Centro,Praça Parque Amorim ,,PEV,-8.051907,-34.895045
Materiais Recicláveis,Recife,Centro,Praça do Arsenal da Marinha,35 Sala 803,PEV,-8.061433,-34.871067
Materiais Recicláveis,Recife,Centro,Av. Rio Branco,155 A,PEV,-8.062639,-34.872884
Materiais Recicláveis,Soledade,Centro,R. João Fernandes Viêira,160,PEV,-8.054543,-3.489133
Materiais Recicláveis,Hipódromo,Norte,R. Carlos Fernandes,264,PEV,-8.032606,-34.886425
Materiais Recicláveis,Santo Amaro,Centro,Av. Gov. Agamenon Magalhães,1956,PEV,-8.039209,-34.878273
Materiais Recicláveis,Peixinhos,Norte,Av. Prof. José dos Anjos,36,PEV,-8.020321,-34.874485
Materiais Recicláveis,Encruzilhada,Norte,R. Amaro Coutinho,675,PEV,-8.032911,-34.896082
Materiais Recicláveis,Casa Forte,Noroeste,Av. Dezessete de Agosto,1386,PEV,-8.035757,-34.920196
Materiais Recicláveis,Monteiro,Noroeste,Av. Dezessete de Agosto,2702,PEV,-8.027942,-3.492823
Materiais Recicláveis,Poço da Panela,Noroeste,Estr. Real do Poço,494,PEV,-8.036449,-34.924747
Materiais Recicláveis,Morro da Conceição,Noroeste,"Estrada do Morro da Conceição,",442,PEV,-8.019322,-34.914722
Materiais Recicláveis,Graças,Noroeste,Av. Rui Barbosa,1899,PEV,-8.037776,-34.905772
Materiais Recicláveis,Parnamirim,Noroeste,Av. Dezessete de Agosto,177,PEV,-8.03418,-34.911283
Materiais Recicláveis,Jaqueira,Noroeste,R. do Futuro,1100,PEV,-8.036243,-34.903834
Materiais Recicláveis,Graças,Noroeste,Rua Senador Alberto Paiva,71-115,PEV,-8.043843,-34.901419
Materiais Recicláveis,Jaqueira,Noroeste,Rua Hoel Sette,109,PEV,-8.036238,-34.902906
Materiais Recicláveis,Cordeiro,Oeste,Praça do Arraial Novo do Bom Jesus ,,PEV,-8.057104,-34.930558
Materiais Recicláveis,Torrões,Oeste,R. Tumiritinga,115,PEV,-8.057688,-34.935291
Materiais Recicláveis,Iputinga,Oeste,R. Ciclovia República da Argélia,10,PEV,-8.044144,-34.916223
Materiais Recicláveis,Iputinga,Oeste,Praça Bom Pastor,1308,PEV,-8.048485,-34.940198
Materiais Recicláveis,Engenho do Meio,Oeste,R. Antônio Curado,352-428,PEV,-8.057298,-34.942138
Materiais Recicláveis,Ilha do Retiro,Oeste,Av. Sport Clube do Recife,830,PEV,-8.061184,-34.902856
Materiais Recicláveis,Madalena,Oeste,Av. Beira Rio,1008,PEV,-8.046852,-34.904118
Materiais Recicláveis,Madalena,Oeste,R. Castro Leão,299,PEV,-8.054359,-34.908995
Materiais Recicláveis,Torre,Oeste,Praça Professor Barreto Campelo,1183,PEV,-8.047049,-34.913819
Materiais Recicláveis,Várzea,Oeste,Estação Riacho Cavouco,,PEV,-8.03667,-34.94587
Materiais Recicláveis,Iputinga,Oeste,R. São Mateus,6,PEV,-8.029139,-34.934141
Materiais Recicláveis,Jiquiá,Sudoeste,Av. Gen. San Martin,1862,PEV,-8.066807,-34.927582
Materiais Recicláveis,Curado,Sudoeste,R. Nelsom de Sena,5,PEV,-8.077634,-34.971882
Materiais Recicláveis,Tejipió,Sudoeste,Av. Liberdade,65,PEV,-8.082147,-34.960266
Materiais Recicláveis,Barro,Sudoeste,R. Cap. Ponciano,201,PEV,-8.095263,-34.943601
Materiais Recicláveis,Areias,Sudoeste,R. Álvaro Fragoso,216,PEV,-8.09606,-34.931721
Materiais Recicláveis,Jardim São Paulo,Sudoeste,Av. Central,5916,PEV,-8.085763,-34.936725
Materiais Recicláveis,Imbiribeira,Sul,Av. Mascarenhas de Moraes,533,PEV,-8.087189,-34.907475
Materiais Recicláveis,Imbiribeira,Sul,R. Nova Verona,101,PEV,-8.096544,-34.91565
Materiais Recicláveis,Imbiribeira,Sul,Av. Pres. Dutra,50,PEV,-8.123409,-34.915241
Materiais Recicláveis,Imbiribeira,Sul,Av. Mascarenhas de Moraes,203,PEV,-8.134015,-34.916686
Materiais Recicláveis,Boa Viagem,Sul,Av. Boa Viagem,4862,PEV,-8.131883,-34.900145
Materiais Recicláveis,Boa Viagem,Sul,First Garden of Boa Viagem - Av. Boa Viagem,1156-1220,PEV,-8.10147,-34.885324
Materiais Recicláveis,Boa Viagem,Sul,R. Barão de Souza Leão,131,PEV,-8.13215,-34.901202
Materiais Recicláveis,Boa Viagem,Sul,Av. Boa Viagem,3196,PEV,-8.105139,-34.887018
Materiais Recicláveis,Imbiribeira,Sul,R. Quatorze,216,PEV,-8.099578,-34.908741
Materiais Recicláveis,Pina,Sul,Av. Antônio de Goes,1050,PEV,-8.084317,-34.887553
Materiais Recicláveis,Cohab,Sul,Av. Santos,15,PEV,-8.115285,-34.95355
Materiais Recicláveis,Ibura,Sul,R. Rio Tapado,39,PEV,-8.116771,-34.943378
"metal,isopor,papel,plastico,vidro",Recife,Centro,Av. Cais do Apolo,Prefeitura do Recife (área interna ),Prefeitura do Recife,-8.054732,-34.872078
"metal,isopor,papel,plastico,vidro",Recife,Centro,Rua do Bom Jesus,Em frente ao Museu Arq. e Pça do Arsenal,Ecoponto,-8.061468,-34.871037
"metal,isopor,papel,plastico,vidro",Recife,Centro,Av. Marques de Olinda,Calçada da cimento nassau( em frete ao marco zero),Ecoponto,-8.063282,-34.871568
"metal,isopor,papel,plastico,vidro",Recife,Centro,Av. Rio Branco,Calçada do Banco do Brasil,Ecoponto,-8.062334,-34.873668
"metal,isopor,papel,plastico,vidro",Santo Antônio,Centro,Avenida Dantas Barreto,Calçada da Praça da Independência,Ecoponto,-8.064094,-34.878483
"metal,isopor,papel,plastico,vidro",São José,Centro,Rua Floriano Peixoto,Dentro da Estação de Metrô,Ecoponto,-8.068556,-34.88447
"metal,isopor,papel,plastico,vidro",Santo Antônio,Centro,Rua da Aurora,"Calçada em frente à quadra, lado oposto",Ecoponto,-8.054618,-34.876745
"metal,isopor,papel,pastico,vidro",Santo Amaro,Centro,Rua Princesa Isabel,Calçada do Parque 13 de Maio,Ecoponto,-8.058044,-34.882159
"metal,isopor,papel,plastico,vidro",Ilha do Leite,Centro,Praça Miguel Cervantes,Primeira Ilha,Ecoponto,-8.065414,-34.893205
"metal,isopor,papel,pastico,vidro",Paissandu,Centro,Avenida Lins Petit - Praça Chora Menino,Em frente da Praça Chora Menino,Ecoponto,-8.060445,-34.894878
"metal,isopor,papel,plastico,vidro",Derby,Noroeste,Av. Agamenon Magalhães,Praça do Derby,Ecoponto,-8.056318,-34.898245
"metal,isopor,papel,plastico,vidro",Santo Amaro,Centro,Av. Gov. Agamenon Magalhães,Praça do Parque Amorim,Ecoponto,-8.051932,-34.89503
"metal,isopor,papel,plastico,vidro",Hipódromo,Norte,Rua Carlos Fernandes,Na Praça do Hipódromo,Ecoponto,-8.032588,-34.886414
"metal,isopor,papel,plastico,vidro",Rosarinho,Norte,Av. Santos Dumont,Praça do Rosarinho,Ecoponto,-8.032848,-34.89619
"metal,isopor,papel,plastico,vidro",Campo Grande,Norte,Av. Professor José dos Anjos,EcoEstação Arruda : Em frente da ponte do Rio Beberibe,Ecoponto,-8.020431,-34.87449
"metal,isopor,papel,plastico,vidro",Graças,Noroeste,Rua Alberto Paiva,em frente ao Colégio São Luis,Ecoponto,-8.04383,-34.901421
"metal,isopor,papel,plastico,vidro",Parnamirim,Noroeste,Av. 17 de Agosto,Praça Dr. José Vilela,Ecoponto,-8.034167,-34.91129
"metal,isopor,papel,plastico,vidro",Santana,Noroeste,Rua Samuel Farias,"Pça Comp. Antonio Maria, em frente ao Colégio Expoente",Ecoponto,-8.040656,-34.914137
"metal,isopor,papel,plastico,vidro",Morro da Conceição,Noroeste,Rua Morro da Conceição,Praça do Morro da Conceição,Ecoponto,-8.019382,-34.914654
"metal,isopor,papel,plastico,vidro",Monteiro,Noroeste,Av.17 de Agosto,Pça em frente ao Colégio Silva Jardim,Ecoponto,-8.027919,-34.928247
"metal,isopor,papel,plastico,vidro",Jaqueira,Noroeste,Rua Rui Barbosa,"Cais da Jaqueira,lateral do Parque da Jaqueira",Ecoponto,-8.037156,-34.90612
"metal,isopor,papel,plastico,vidro",Poço,Noroeste,Rua do Futuro,"Praça Souto Filho,Jaqueira.",Ecoponto,-8.036269,-34.902888
"metal,isopor,papel,plastico,vidro",Poço,Noroeste,Estrada. Real do Poço.,Praça Rui Antunes,Ecoponto,-8.036879,-34.924999
"metal,isopor,papel,plastico,vidro",Macaxeira,Noroeste,"Av. Norte, Academia da Cidade do Buriti",em frente da Academia da Cidade do Burit,Ecoponto,-8.016896,-34.929414
"metal,isopor,papel,plastico,vidro",Santana,Noroeste,R. Jorge Gomes de Sá (Parque de Santana),em frente do Parque de Santana,Ecoponto,-8.041134,-34.917631
"metal,isopor,papel,plastico,vidro",Casa Amarela,Noroeste,Av. Norte.,"Praça do Trabalho,",Ecoponto,-8.023107,-34.914341
"metal,isopor,papel,plastico,vidro",Casa Amarela,Noroeste,Av.17 de Agosto,Praça da Vitória Régia,Ecoponto,-8.035752,-34.920197
"metal,isopor,papel,plastico,vidro",Ilha Joana Bezerra,Centro,Av. Beira Rio,Praça da Academia da Cidade,Ecoponto,-8.046621,-34.904167
"metal,isopor,papel,plastico,vidro",Madalena,Oeste,Rua José Múcio Monteiro,Estacionamento da FCAP-UPE,Ecoponto,-8.061194,-34.902833
"metal,isopor,papel,plastico,vidro",Torre,Oeste,Rua Prof. Barreto Campelo,Praça Prof. Barreto Campelo,Ecoponto,-8.047006,-34.913753
"metal,isopor,papel,plastico,vidro",Engenho do Meio,Oeste,Rua Antonio Curado,Praça da Academia da Cidade Arnaldo Assunção.,Ecoponto,-8.057281,-34.942328
"metal,isopor,papel,plastico,vidro",Iputinga,Oeste,Rua Bom Pastor,Praça do Bom Pastor,Ecoponto,-8.04891,-34.940114
"metal,isopor,papel,plastico,vidro",Torre,Oeste,Rua Real da Torre,Centro Educacional Paulo Freire da Prefeitura,Ecoponto,-8.045157,-34.910046
"metal,isopor,papel,plastico,vidro",San Martin,Sudoeste,Rua Dezesseis de Outubro ,Em frente do Parque Arraial Novo do Bom Jesus,Ecoponto,-8.058085,-34.931176
"metal,isopor,papel,plastico,vidro",San Martin,Sudoeste,Rua Elphego Jorge de Souza,ao lado do CHESF - Companhia Hidroelétrica do São Francisco,Ecoponto,-8.064149,-34.931022
"metal,isopor,papel,plastico,vidro",San Martin,Sudoeste,Av.General San Martin,Academia da Cidade de San Martin.,Ecoponto,-8.066808,-34.927572
"metal,isopor,papel,plastico,vidro",Imbiribeira,Sul,Avenida Mascarenhas de Moraes,em frente à COPERGÁS,Ecoponto,-8.087282,-34.907481
eletrônico,San Martin,Sudoeste,Rua Vinte e Um de Abril,3370 - EMPREL,EMPREL,-8.0676699,-34.938081
eletrônico,Boa Vista,Centro,Av. Conde da Boa Vista,867 - URB,URB,-8.0583029,-34.888518
"metal,isopor,papel,plastico,vidro",Boa Viagem,Sul,Rua Visc. de Jequitinhonha,2674,Ecoponto,-8.136264,-34.903703
eletrônico,Curado,Sudoeste,Rodovia BR 232,s/n,Jardim Botânico do Recife,-8.076071,-34.966706
eletrônico,Areias,Sudoeste,Av. Recife,3587 - Próximo ao Hospital Geral de Areias,EMLURB,-8.1020216,-34.927986
